"Huishoudens; samenstelling, grootte, regio, 1 januari"
""
"";"";"";"Onderwerp"
"";"";"";"Particuliere huishoudens: samenstelling|Totaal particuliere huishoudens";"Particuliere huishoudens: samenstelling|Eenpersoonshuishouden";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Totaal meerpersoonshuishoudens";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Niet-gehuwd paar|Totaal niet-gehuwde paren";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Gehuwd paar|Totaal gehuwde paren";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Eenouderhuishouden|Totaal eenouderhuishoudens";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|2 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|3 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|4 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|5 of meer personen"
"Regio's";"Leeftijd referentiepersoon";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Groot-Amsterdam (CR)";"45 tot 50 jaar";"2010";"66213";"23439";"42774";"7786";"24299";"10371";"13101";"9976";"13496";"6201"
"Groot-Amsterdam (CR)";"45 tot 50 jaar";"2015";"64920";"22470";"42450";"9287";"22601";"10368";"12518";"10058";"13509";"6365"
"Groot-Amsterdam (CR)";"45 tot 50 jaar";"2020";"61062";"20151";"40911";"9623";"20865";"10201";"11446";"9578";"13562";"6325"
"Groot-Amsterdam (CR)";"50 tot 55 jaar";"2000";"51295";"19148";"32147";"3535";"23363";"5049";"14820";"8554";"6350";"2423"
"Groot-Amsterdam (CR)";"50 tot 55 jaar";"2005";"52439";"20393";"32046";"4125";"21332";"6360";"13328";"8214";"7514";"2990"
"Groot-Amsterdam (CR)";"50 tot 55 jaar";"2010";"57401";"22004";"35397";"5201";"21816";"8126";"13487";"9286";"9073";"3551"
"Groot-Amsterdam (CR)";"50 tot 55 jaar";"2015";"64421";"23780";"40641";"7401";"23424";"9614";"14947";"10316";"10808";"4570"
"Groot-Amsterdam (CR)";"50 tot 55 jaar";"2020";"63541";"22539";"41002";"8203";"22414";"10184";"13745";"10495";"11596";"5166"
"Groot-Amsterdam (CR)";"55 tot 60 jaar";"2000";"37204";"14426";"22778";"1943";"18394";"2282";"14409";"5155";"2120";"1094"
"Groot-Amsterdam (CR)";"55 tot 60 jaar";"2005";"49800";"20562";"29238";"3098";"22441";"3522";"18188";"6544";"3274";"1232"
"Groot-Amsterdam (CR)";"55 tot 60 jaar";"2010";"50519";"21506";"29013";"3746";"20433";"4649";"16146";"7161";"4245";"1461"
"Groot-Amsterdam (CR)";"55 tot 60 jaar";"2015";"55626";"23189";"32437";"4970";"21008";"6272";"16382";"8442";"5561";"2052"
"Groot-Amsterdam (CR)";"55 tot 60 jaar";"2020";"62546";"24765";"37781";"6618";"23139";"7819";"17285";"10046";"7434";"3016"
"Groot-Amsterdam (CR)";"60 tot 65 jaar";"2000";"30468";"12624";"17844";"1275";"15261";"1194";"13911";"2693";"808";"432"
"Groot-Amsterdam (CR)";"60 tot 65 jaar";"2005";"35615";"15263";"20352";"1647";"17130";"1455";"15547";"3202";"1066";"537"
"Groot-Amsterdam (CR)";"60 tot 65 jaar";"2010";"47257";"21206";"26051";"2601";"21076";"2208";"19688";"4123";"1630";"610"
"Groot-Amsterdam (CR)";"60 tot 65 jaar";"2015";"48336";"22135";"26201";"3505";"19467";"3073";"18098";"5145";"2127";"831"
"Groot-Amsterdam (CR)";"60 tot 65 jaar";"2020";"53488";"24200";"29288";"4379";"20305";"4409";"18340";"6636";"3131";"1181"
"Groot-Amsterdam (CR)";"65 tot 70 jaar";"2000";"27196";"12300";"14896";"844";"13128";"821";"12972";"1470";"306";"148"
"Groot-Amsterdam (CR)";"65 tot 70 jaar";"2005";"28897";"13233";"15664";"994";"13763";"817";"13476";"1585";"391";"212"
"Groot-Amsterdam (CR)";"65 tot 70 jaar";"2010";"33390";"15625";"17765";"1248";"15503";"934";"15043";"1894";"562";"266"
"Groot-Amsterdam (CR)";"65 tot 70 jaar";"2015";"44440";"21293";"23147";"2249";"19240";"1566";"19329";"2627";"830";"361"
"Groot-Amsterdam (CR)";"65 tot 70 jaar";"2020";"45635";"22514";"23121";"2845";"17986";"2162";"18208";"3356";"1137";"420"
"Groot-Amsterdam (CR)";"70 tot 75 jaar";"2000";"25766";"13293";"12473";"642";"11057";"649";"11425";"893";"120";"35"
"Groot-Amsterdam (CR)";"70 tot 75 jaar";"2005";"25015";"12836";"12179";"625";"10837";"638";"11101";"865";"143";"70"
"Groot-Amsterdam (CR)";"70 tot 75 jaar";"2010";"26746";"13488";"13258";"797";"11765";"633";"11918";"1014";"210";"116"
"Groot-Amsterdam (CR)";"70 tot 75 jaar";"2015";"30814";"15311";"15503";"1155";"13454";"830";"13816";"1178";"329";"180"
"Groot-Amsterdam (CR)";"70 tot 75 jaar";"2020";"41430";"21277";"20153";"1842";"16990";"1249";"17720";"1742";"495";"196"
"Groot-Amsterdam (CR)";"75 tot 80 jaar";"2000";"23798";"14203";"9595";"503";"8401";"591";"9024";"493";"56";"22"
"Groot-Amsterdam (CR)";"75 tot 80 jaar";"2005";"22091";"13082";"9009";"431";"7994";"501";"8465";"480";"54";"10"
"Groot-Amsterdam (CR)";"75 tot 80 jaar";"2010";"21900";"12518";"9382";"480";"8337";"514";"8771";"490";"91";"30"
"Groot-Amsterdam (CR)";"75 tot 80 jaar";"2015";"23771";"12979";"10792";"669";"9479";"597";"9972";"618";"144";"58"
"Groot-Amsterdam (CR)";"75 tot 80 jaar";"2020";"27936";"15101";"12835";"906";"11149";"727";"11693";"840";"187";"115"
"Groot-Amsterdam (CR)";"80 tot 85 jaar";"2000";"15089";"10486";"4603";"282";"3852";"405";"4373";"199";"26";"5"
"Groot-Amsterdam (CR)";"80 tot 85 jaar";"2005";"17649";"12035";"5614";"282";"4857";"413";"5330";"247";"26";"11"
"Groot-Amsterdam (CR)";"80 tot 85 jaar";"2010";"16939";"11193";"5746";"283";"5030";"378";"5453";"250";"33";"10"
"Groot-Amsterdam (CR)";"80 tot 85 jaar";"2015";"17467";"11034";"6433";"332";"5562";"507";"6087";"279";"41";"26"
"Groot-Amsterdam (CR)";"80 tot 85 jaar";"2020";"19724";"11977";"7747";"465";"6733";"516";"7247";"381";"82";"37"
"Groot-Amsterdam (CR)";"85 tot 90 jaar";"2000";"8266";"6406";"1860";"172";"1388";"260";"1779";"77";"3";"1"
"Groot-Amsterdam (CR)";"85 tot 90 jaar";"2005";"8226";"6374";"1852";"119";"1471";"229";"1765";"81";"5";"1"
"Groot-Amsterdam (CR)";"85 tot 90 jaar";"2010";"10648";"8066";"2582";"134";"2165";"255";"2471";"98";"9";"4"
"Groot-Amsterdam (CR)";"85 tot 90 jaar";"2015";"10532";"7663";"2869";"146";"2372";"321";"2730";"122";"14";"3"
"Groot-Amsterdam (CR)";"85 tot 90 jaar";"2020";"11565";"8193";"3372";"169";"2874";"312";"3186";"149";"27";"10"
"Groot-Amsterdam (CR)";"90 tot 95 jaar";"2000";"2492";"2076";"416";"47";"237";"110";"393";"19";"3";"1"
